,atom,residue,-9,-8,-7,-6,-5,-4,-3
0,CE1,terB,-0.2551337597,-0.2551337597,-0.2551337597,-0.2551337597,-0.2551337597,-0.2551337597,-0.2551337597
1,HE1,terB,0.1241707386,0.1241707386,0.1241707386,0.1241707386,0.1241707386,0.1241707386,0.1241707386
2,HE2,terB,0.1309630211,0.1309630211,0.1309630211,0.1309630211,0.1309630211,0.1309630211,0.1309630211
3,CD1,terB,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264
4,HD1,terB,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264
5,CD2,terB,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565
6,HD2,terB,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115
7,OD1,terB,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584
8,CD3,terB,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742
9,CD4,terB,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742
10,CD5,terB,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565
11,HD3,terB,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115
12,CA1,terB,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397
13,OA1,terB,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077
14,OA2,terB,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379
15,CA2,terB,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469
16,CA3,terB,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552
17,NA1,terB,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975
18,HA1,terB,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325
19,HA2,terB,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098
20,CB1,terB,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397
21,OB1,terB,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077
22,OB2,terB,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379
23,CB2,terB,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469
24,CB3,terB,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552
25,NB1,terB,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975
