,atom,residue,-10,-9,-8,-7,-6,-5,-4,-3
0,CE1,terB,-0.2679331126,-0.2558195241,-0.237817398,-0.2105626381,-0.17661168,-0.1251613555,0.0128601129,0.4034192894
1,HE1,terB,0.1185933568,0.1140593892,0.1068758452,0.0952138997,0.0807060148,0.059328657,0.003310326,-0.1656526143
2,HE2,terB,0.1493397558,0.1417601349,0.1309415528,0.1153487384,0.0959056652,0.0658326985,-0.0161704389,-0.2377666751
3,CD1,terB,-0.1136821854,-0.1102060619,-0.1032508246,-0.0876845016,-0.0596907503,-0.0201164721,0.0447174054,0.2181684801
4,HD1,terB,0.1136821854,0.1102060619,0.1032508246,0.0876845016,0.0596907503,0.0201164721,-0.0447174054,-0.2181684801
5,CD2,terB,-0.1105478347,-0.0938917805,-0.0654390139,-0.0104478435,0.0761053253,0.1864909743,0.3712167678,0.6994306878
6,HD2,terB,0.1340814215,0.129689378,0.1228417594,0.1077119027,0.0809609739,0.0453954258,-0.017011094,-0.1626548614
7,OD1,terB,-0.1696628936,-0.1797461569,-0.1973754993,-0.2318901412,-0.2849731617,-0.3516790136,-0.4716130446,-0.7285145206
8,CD3,terB,0.0612978601,0.0540754809,0.0412850042,0.0186810114,-0.0145797183,-0.0560468933,-0.1183991515,-0.1725185661
9,CD4,terB,0.0612978601,0.0540754809,0.0412850042,0.0186810114,-0.0145797183,-0.0560468933,-0.1183991515,-0.1725185661
10,CD5,terB,-0.1105478347,-0.0938917805,-0.0654390139,-0.0104478435,0.0761053253,0.1864909743,0.3712167678,0.6994306878
11,HD3,terB,0.1340814215,0.129689378,0.1228417594,0.1077119027,0.0809609739,0.0453954258,-0.017011094,-0.1626548614
12,CA1,terB,0.6275642612,0.6359009803,0.6454087501,0.6564734557,0.682888185,0.7595652328,0.9757008635,1.4589479573
13,OA1,terB,-0.4899947633,-0.4948197966,-0.5008080903,-0.5089484538,-0.5280096948,-0.5812425229,-0.7316650628,-1.0803493958
14,OA2,terB,-0.4203331184,-0.4289007014,-0.4360608857,-0.4381944989,-0.4380944872,-0.4523329215,-0.5331635352,-0.7870128551
15,CA2,terB,0.2827636205,0.2878195177,0.2914602259,0.2906694971,0.283215997,0.2740102116,0.2891277345,0.4084142936
16,CA3,terB,0.1827570181,0.1870843612,0.1921566897,0.198688991,0.2101825018,0.2404598616,0.3290349971,0.5428178873
