,atom,residue,-10,-9,-8,-7,-6,-5,-4,-3
0,CE1,terB,-0.2638908086,-0.3129092471,-0.3738985948,-0.4245071582,-0.4188829663,-0.3248783435,-0.1416122423,0.1757187228
1,HE1,terB,0.1288871581,0.1415901984,0.156396135,0.169249587,0.1677492136,0.1403627729,0.0858503591,-0.0249962993
2,HE2,terB,0.1354503547,0.148681249,0.1645088875,0.1753092159,0.1690904633,0.1383259383,0.0727520481,-0.0574807015
3,CD1,terB,-0.2928452134,-0.2330500406,-0.1608044787,-0.1001376669,-0.0819340061,-0.1010733436,-0.111575612,0.0057016821
4,HD1,terB,0.152179801,0.1444946622,0.1328529548,0.1212146755,0.1121153322,0.1010684204,0.0834144008,0.0088225199
5,CD2,terB,0.4391065952,0.3579877388,0.2949123714,0.2724936408,0.2988457363,0.3586419601,0.4562368394,0.5661879808
6,HD2,terB,-0.0135087105,0.0038565646,0.0135988975,0.0116653447,-0.0010486572,-0.0184982943,-0.04186264,-0.0811859468
7,OD1,terB,-0.3716703106,-0.364477204,-0.3780818442,-0.4046123304,-0.4365018254,-0.4590114612,-0.5196047556,-0.7124503068
8,CD3,terB,0.0766958836,0.094275034,0.102378132,0.0945070213,0.0686982948,0.0128286818,-0.0744498453,-0.0812047156
9,CD4,terB,0.0549596906,0.0429821438,0.0169255681,-0.0223126479,-0.0600048189,-0.070819109,-0.0599573122,-0.0228789937
10,CD5,terB,0.0088946786,0.070137963,0.1909353342,0.3282552883,0.4390325734,0.4648108133,0.4756844496,0.5569707923
11,HD3,terB,0.1247715879,0.1055811494,0.0708430548,0.0270782781,-0.0131244935,-0.0305490281,-0.0445041639,-0.087732127
12,CA1,terB,0.5658101742,0.5537834537,0.5470074511,0.5630593204,0.5962459088,0.6404850406,0.7456548859,0.9959044782
13,OA1,terB,-0.4689035126,-0.4686252044,-0.4693528097,-0.4759705108,-0.4887308464,-0.5100571935,-0.5692848802,-0.7244667773
14,OA2,terB,-0.4346643503,-0.4410518312,-0.4453510511,-0.4537434235,-0.4671651659,-0.4863987683,-0.555460686,-0.7793156153
15,CA2,terB,0.3107812347,0.3228222361,0.3317490543,0.3375474552,0.3447432761,0.3566031085,0.3978389331,0.5500768076
16,CA3,terB,0.1922718944,0.1969466975,0.2020609515,0.2079222643,0.2105168044,0.2119515936,0.2391067767,0.3350549568
17,NA1,terB,-0.7936346146,-0.8132071203,-0.827156481,-0.831720147,-0.8197078224,-0.7751818586,-0.7036571965,-0.5504882301
18,HA1,terB,0.2955913131,0.3032444872,0.3091046667,0.3117357546,0.308771724,0.2949530508,0.273103716,0.2160204716
19,HA2,terB,0.3025444603,0.3091164635,0.3133799475,0.3146766854,0.3132064405,0.3046749266,0.2883960412,0.2355850584
20,CB1,terB,0.4428507004,0.4516368978,0.4730091864,0.506899545,0.5475802956,0.6054572902,0.7410533207,0.9996543331
21,OB1,terB,-0.4390665993,-0.4439399381,-0.4529186865,-0.4665044209,-0.482745037,-0.5076317264,-0.5796875217,-0.7493639066
22,OB2,terB,-0.3770397372,-0.3872608101,-0.4006932502,-0.4145080954,-0.4295040882,-0.4542971397,-0.5330405138,-0.7786292372
