,atom,residue,q_unconstrained_9,q_unconstrained_8,q_unconstrained_7,q_unconstrained_6,q_unconstrained_5,q_unconstrained_4,q_unconstrained_3
0,CE1,terB,-0.3983174542,-0.3998250194,-0.4224984565,-0.4320497417,-0.327210418,-0.1191004826,0.2047999681
1,HE1,terB,0.1875119752,0.1921319194,0.1986774617,0.2011672975,0.1753273698,0.1184093973,0.0124543229
2,HE2,terB,0.2117306746,0.2072676407,0.2082494301,0.2077321997,0.177568512,0.1087826713,-0.0182641598
3,CD1,terB,-0.135342965,-0.1620033251,-0.1311642402,-0.0947717868,-0.1333758961,-0.1567748852,-0.0274073001
4,HD1,terB,0.1496619124,0.1654058984,0.157447011,0.1384100263,0.1278956387,0.1086302284,0.0277155947
5,CD2,terB,0.1320685196,0.1752245913,0.2055706681,0.2674602572,0.3820288726,0.4873228984,0.5758960167
6,HD2,terB,0.1120827351,0.073044093,0.0498358232,0.0256107842,-0.0031492599,-0.0299289313,-0.0696587911
7,OD1,terB,-0.4068135869,-0.368656417,-0.3927864585,-0.4497792423,-0.5102606204,-0.5831953813,-0.7561856346
8,CD3,terB,0.0717845959,0.110813073,0.1440760369,0.1153864034,0.0343878401,-0.0566487332,-0.054625359
9,CD4,terB,0.3905305617,0.2564167855,0.1393551405,0.0346903391,-0.0304436089,-0.0456569039,-0.0197379164
10,CD5,terB,0.4961376787,0.4227837468,0.3537640591,0.3859154127,0.4428502594,0.4766741712,0.5534395472
11,HD3,terB,0.0200145679,0.000900158,0.0067947853,-0.0125450216,-0.0361241204,-0.0555958799,-0.0985819593
12,CA1,terB,-0.0622713244,0.1306677133,0.3232332345,0.4731334085,0.5885824015,0.7239066103,0.9846771507
13,OA1,terB,-0.2948011555,-0.3359980895,-0.3759435865,-0.406828256,-0.4382561816,-0.5039074726,-0.6695480693
14,OA2,terB,0.009361127,-0.1331923232,-0.2801302435,-0.3839844317,-0.4615494096,-0.5604611961,-0.7844708048
15,CA2,terB,0.2093760542,0.2351418776,0.2687172183,0.2976337566,0.3324408054,0.3976968242,0.5641439598
16,CA3,terB,0.1706906231,0.1958534954,0.2069158174,0.2092870002,0.215814509,0.2504275166,0.351523678
17,NA1,terB,-0.3855258634,-0.4755218387,-0.5349533825,-0.5529311046,-0.568796831,-0.5880083911,-0.4917799684
18,HA1,terB,0.1354029098,0.1888111459,0.2279713668,0.2447058862,0.2527450107,0.258414169,0.2151885918
19,HA2,terB,0.1980012459,0.2250179305,0.2407123649,0.2459687288,0.2528899699,0.259436113,0.2139474177
20,CB1,terB,0.4610450077,0.4228454016,0.3892474476,0.4426164106,0.550091132,0.7156444188,0.9858877014
21,OB1,terB,-0.4248369901,-0.4193953668,-0.4096792542,-0.4197577442,-0.446534545,-0.5106821209,-0.6716256264
22,OB2,terB,-0.4282902151,-0.371391128,-0.3585214119,-0.4064253929,-0.4708378944,-0.5654824815,-0.784577171
23,CB2,terB,0.3301635714,0.3105223175,0.3095819649,0.3222613613,0.3428567337,0.3913223426,0.5512907773
24,CB3,terB,0.1805356268,0.2069929927,0.2232401095,0.229044694,0.2327037431,0.2679290586,0.3679506612
25,NB1,terB,-0.4947868135,-0.5766818493,-0.6390094891,-0.6409086495,-0.618378568,-0.6070616572,-0.4932697778
26,HB1,terB,0.2053160923,0.2536279649,0.2887281405,0.2981339871,0.2944055593,0.2882543602,0.2357988404
27,HB2,terB,0.196384393,0.2266813012,0.2458139444,0.2453177758,0.2435768849,0.2466202394,0.2045688098
28,CD6,terB,-0.9904598924,-0.6861533096,-0.4658732427,-0.3304110853,-0.2592467338,-0.1763114239,0.002624465
29,HD4,terB,0.2785419268,0.2264445568,0.1876913697,0.1526120616,0.1256081169,0.0865957838,-0.0170009152
30,CD1,OXO0,0.5374730186,0.1836228649,-0.0406032012,-0.1368472952,-0.1412287468,-0.1005183033,0.0577243135
31,HD1,OXO0,0.0207537616,0.070869298,0.0973121646,0.1030940517,0.095931891,0.074310601,-0.0084817872
32,CD2,OXO0,-0.4564475885,-0.0272276735,0.2475006856,0.3509779732,0.3761320664,0.4415201086,0.5548633216
33,HD2,OXO0,0.2480275913,0.094690867,0.0216710746,0.0061391017,-0.0020659011,-0.0407371933,-0.1001750691
34,OD1,OXO0,-0.3214796823,-0.381899957,-0.4146215683,-0.4244234067,-0.4320815144,-0.4800833403,-0.6610856301
35,CD3,OXO0,0.020197664,0.0212780962,0.0311591647,0.0318337021,0.0061191644,-0.038502739,-0.0250922118
36,CD4,OXO0,0.2750884025,0.1685752569,0.0692077076,-0.005117622,-0.0538745408,-0.0828189013,-0.0614558238
37,CD5,OXO0,0.6473736072,0.5330184134,0.4136230405,0.3636684728,0.389535981,0.4548136578,0.5611614605
38,HD3,OXO0,-0.0750200495,-0.0520779156,-0.0261426631,-0.0202353236,-0.0352503506,-0.0639094998,-0.1202942651
39,CF1,OXO0,0.1182764591,0.2923353749,0.4336913526,0.5217062143,0.5932059345,0.7156452779,0.9780112441
40,OF1,OXO0,-0.3284603014,-0.3819159468,-0.4325261777,-0.4643667084,-0.4967707815,-0.5785157002,-0.7743396107
41,OF2,OXO0,-0.3853078844,-0.415316058,-0.41756101,-0.4078090601,-0.4128061942,-0.4829966128,-0.7408663653
42,CF2,OXO0,0.3704673533,0.3651022609,0.3400265519,0.3139161924,0.3103430159,0.366779608,0.5514683998
43,CA4,OXO0,0.2762186139,0.2616459437,0.2420504605,0.2208555626,0.214221503,0.2263556184,0.2967212986
44,NA2,OXO0,-0.5132138149,-0.4914600493,-0.5305246502,-0.4759429063,-0.4355130661,-0.4396429344,-0.3146557883
45,HA3,OXO0,0.387636522,0.3308508998,0.3235129526,0.2864148896,0.2593025342,0.2575054042,0.1941179722
46,HA4,OXO0,0.2307430406,0.2360144203,0.2582625779,0.2617560533,0.2620999714,0.2622744268,0.2090611297
47,HA5,OXO0,-0.0402277209,0.0752114029,0.1892689183,0.2111780379,0.2097027559,0.2227639746,0.1590362858
48,CG1,OXO0,0.5040620028,0.4796166679,0.4584985674,0.4735247768,0.5421667816,0.69664612,0.971617981
49,OG1,OXO0,-0.4092402703,-0.4088782817,-0.4059840874,-0.4135359348,-0.4448173055,-0.5315868626,-0.7180043853
50,OG2,OXO0,-0.2638821583,-0.3089241169,-0.3368460571,-0.3671192124,-0.4071074284,-0.4955794374,-0.7379966626
51,CG2,OXO0,0.2339156343,0.2537784347,0.2610122122,0.2694270902,0.2928506902,0.3563071684,0.5373671822
52,CB4,OXO0,0.2030304129,0.1669605825,0.17735943,0.2034281595,0.2233511283,0.2483071265,0.331111755
53,NB2,OXO0,-0.2453388308,0.0199318507,-0.049863479,-0.2149131216,-0.3419698342,-0.3933989081,-0.2805175795
54,HB3,OXO0,-0.0379770941,-0.0115540702,0.0914757274,0.1907215442,0.2480816995,0.2717154562,0.2356717266
55,HB4,OXO0,0.0941974981,0.0306727884,0.0687452625,0.127303037,0.1787660744,0.2067210559,0.1508419913
56,HB5,OXO0,0.3327551739,0.1669667989,0.1478031511,0.1799012483,0.2115119466,0.2274208138,0.1673499201
57,CD6,OXO0,-0.5734086486,-0.434136227,-0.3100226366,-0.2371620207,-0.2019164691,-0.148177609,0.0240717938
58,HD4,OXO0,0.1875724628,0.1623471721,0.1423432646,0.1279742706,0.1136537584,0.0835905102,-0.0124314367
59,CC1,terA,-0.2079885947,-0.2858303127,-0.3020442543,-0.2589492597,-0.1658292628,-0.0273599336,0.1616860097
60,HC1,terA,0.1384628452,0.1556556262,0.1576305824,0.1428303765,0.114868526,0.0701655271,-0.0201421949
61,CC2,terA,0.1951213444,0.2713498505,0.2871284406,0.2584092709,0.193332865,0.0934099206,0.0178169604
62,CC3,terA,-0.165136734,-0.2063489891,-0.2147176876,-0.2010471015,-0.1526221175,-0.0524773936,0.1016052216
63,HC2,terA,0.1465357072,0.1520232029,0.1508854833,0.1435549958,0.117658305,0.0677848037,-0.0107923737
64,CC4,terA,-0.1378606267,-0.1077018218,-0.0941820889,-0.0795386236,-0.0476263185,0.0051904773,0.117514349
65,HC3,terA,0.1509742702,0.1426466254,0.1354641152,0.1244735413,0.1031370345,0.0722107626,0.0167527307
66,CC5,terA,-0.116836203,-0.1323548439,-0.125014808,-0.1021787279,-0.0680940993,-0.008059571,0.1140809879
67,HC4,terA,0.1381335494,0.1381397771,0.1327394412,0.1215548723,0.1020793249,0.0724849119,0.0184087743
68,CC6,terA,-0.0915610085,-0.0714783158,-0.067498419,-0.0653034262,-0.0453732526,0.0040498269,0.1171101052
69,HC5,terA,0.1291903873,0.1237252919,0.1190967806,0.1114209255,0.0930468121,0.0627531025,0.0061073339
70,CC7,terA,-0.179994418,-0.2205570446,-0.2252423832,-0.2037028582,-0.145767292,-0.0473395897,0.0967586462
71,HC6,terA,0.1113419349,0.1224357621,0.1238351884,0.1164843589,0.089893761,0.0423508509,-0.0367948771
72,CD1,terA,0.0617970013,-0.0529408785,-0.1239709063,-0.153986734,-0.1565009271,-0.1164794719,0.0417831875
73,HD1,terA,0.1071669643,0.1163645415,0.1192026303,0.118542205,0.1105261029,0.0831429591,-0.006174961
74,CD2,terA,-0.0516632527,0.1204429157,0.212300585,0.2788433461,0.3649266644,0.4564129511,0.5586414154
75,HD2,terA,0.1060405436,0.0706312692,0.053411089,0.0354766638,0.004128304,-0.0325514891,-0.0794972617
76,OD1,terA,-0.174522432,-0.2703345777,-0.3215294222,-0.3633930513,-0.4011969788,-0.4641870227,-0.6454678858
77,CD3,terA,-0.1245016766,-0.0973086125,-0.0616002132,-0.0436086889,-0.0797461217,-0.1207038868,-0.0880604358
78,CD4,terA,0.2597405987,0.1576993098,0.0816269933,0.0186162428,-0.0312271667,-0.0755194098,-0.0710171894
79,CD5,terA,-0.1085361539,0.0780879172,0.176951831,0.2682327882,0.3575663645,0.4546738697,0.5675260342
80,HD3,terA,0.1466478384,0.0882312071,0.0576738205,0.0303259534,-0.0001600371,-0.0385548257,-0.0945637602
81,CA1,terA,0.3838017029,0.4300740719,0.4870815475,0.5262752874,0.5847383049,0.7174366015,0.9827076114
82,OA1,terA,-0.4045410063,-0.4119342608,-0.4254716766,-0.4380124667,-0.4711907495,-0.5584477482,-0.7485486393
83,OA2,terA,-0.4330849468,-0.4373551103,-0.4458947673,-0.4431756992,-0.4511572456,-0.5271088325,-0.7882653461
84,CA2,terA,0.3229062198,0.3106353377,0.303767232,0.2985791439,0.3111740496,0.3677801358,0.5422506877
85,CA3,terA,0.2443154624,0.266093292,0.274485536,0.270261474,0.2556239557,0.2630159338,0.3431138808
86,NA1,terA,-0.586443832,-0.6154143716,-0.6555685831,-0.6440712036,-0.6143795473,-0.5887147975,-0.4703091169
87,HA1,terA,0.2254098212,0.2605641552,0.2960696736,0.3055728764,0.3024567095,0.2921694259,0.2377870047
88,HA2,terA,0.2130718044,0.2201898167,0.2277856506,0.2296095006,0.233530336,0.2399615059,0.2057420894
89,CB1,terA,0.5946336826,0.5892412434,0.5344703411,0.5316270921,0.5973368703,0.7394853111,0.9957671057
90,OB1,terA,-0.412378759,-0.420425247,-0.4173860078,-0.4273001543,-0.455142554,-0.524795378,-0.6789160889
91,OB2,terA,-0.3756260563,-0.4052035686,-0.3728939811,-0.3874668819,-0.4350218436,-0.5381891974,-0.7970539404
92,CB2,terA,0.3503475756,0.327567709,0.3111439267,0.3278190672,0.3544011566,0.4097919098,0.5756036561
93,CB3,terA,-0.0484708808,0.089036756,0.1584356995,0.1704024489,0.1769828604,0.2213623649,0.3324816328
94,NB1,terA,0.2244847383,-0.2226935061,-0.4953935972,-0.5746718848,-0.5749081157,-0.5760478396,-0.4745409307
95,HB1,terA,0.0440138139,0.1568178713,0.223728437,0.2491416799,0.2553530952,0.258963572,0.222610922
96,HB2,terA,0.0333240602,0.1710676515,0.256851561,0.2842682792,0.283711519,0.2769759071,0.2251947691
97,CD6,terA,-0.1269485279,-0.1221450257,-0.1253002316,-0.1458190099,-0.1776787839,-0.1716080244,-0.0054192054
98,HD4,terA,0.1129216496,0.1028155816,0.0982348872,0.0948015841,0.0905839317,0.0629539485,-0.0394484153
