,atom,residue,-9,-8,-7,-6,-5,-4,-3
0,CE1,terB,-0.4725983729,-0.4754575301,-0.4840575566,-0.4450782749,-0.3317745107,-0.1408611339,0.180579314
1,HE1,terB,0.2094287525,0.2053838702,0.2022765039,0.1873659026,0.1518696821,0.0919137368,-0.0208009857
2,HE2,terB,0.1853923639,0.1859317502,0.1872827302,0.1768041084,0.1454967916,0.0838255972,-0.0369933062
3,CD1,terB,-0.0889799326,-0.0820871151,-0.0654802131,-0.0779418258,-0.1089164061,-0.118645515,0.0053456586
4,HD1,terB,0.1345069265,0.1339678543,0.1268120251,0.1204419636,0.1099091935,0.0926889219,0.0222516989
5,CD2,terB,0.1414365395,0.1675758979,0.217946874,0.2800224263,0.3496456275,0.4462612883,0.5514662898
6,HD2,terB,0.0628434693,0.0523180061,0.0326061339,0.0152367107,0.001935311,-0.0162297503,-0.0519386253
7,OD1,terB,-0.3254141264,-0.3676414562,-0.4111109944,-0.4425604512,-0.458580642,-0.512500609,-0.6962833013
8,CD3,terB,0.1916506001,0.1674828609,0.1256785859,0.0737325576,0.00553932,-0.0825902618,-0.0844110255
9,CD4,terB,0.1072114297,0.0700042714,0.0184230647,-0.0270202572,-0.051597308,-0.0514634214,-0.0166253833
10,CD5,terB,-0.0505192131,0.106856034,0.2757396587,0.4024880724,0.4409318732,0.4598437194,0.5439721708
11,HD3,terB,0.1291137701,0.0857783725,0.034110384,-0.007852593,-0.0251366357,-0.0355832394,-0.0744387248
12,CA1,terB,0.4694385673,0.4868881117,0.5155589471,0.5515614298,0.609111513,0.7286037977,0.986620289
13,OA1,terB,-0.4361934452,-0.4452298519,-0.4574827008,-0.4742583832,-0.5039498094,-0.5734636314,-0.7335943503
14,OA2,terB,-0.4009442328,-0.4128296706,-0.4213732854,-0.4299865223,-0.4509794485,-0.5249576872,-0.7548605874
15,CA2,terB,0.2844463969,0.2913530726,0.2970657969,0.3049842045,0.3224843028,0.3724040972,0.5352287178
16,CA3,terB,0.203613542,0.2090260774,0.2114758478,0.211179217,0.2136686208,0.2431719599,0.3422621606
17,NA1,terB,-0.75230662,-0.7660388305,-0.7703428005,-0.7585308556,-0.7247038354,-0.6660057647,-0.5223008705
18,HA1,terB,0.2868295248,0.2926864672,0.2955554542,0.2931046689,0.2832157954,0.2664027377,0.2145840074
19,HA2,terB,0.2910852053,0.2953136939,0.297363663,0.2963822899,0.2915123898,0.2797198252,0.230959621
20,CB1,terB,0.4484301382,0.4677504084,0.4950496014,0.5342193461,0.5965963758,0.7356577935,0.9969445364
21,OB1,terB,-0.4213635059,-0.4290841782,-0.4400613154,-0.4585918129,-0.4910350335,-0.5687378812,-0.7359326559
22,OB2,terB,-0.4526240353,-0.4493721553,-0.4419919396,-0.4378816913,-0.4458198044,-0.5135229047,-0.7544962163
23,CB2,terB,0.3288421375,0.3278219913,0.3264267753,0.3255584024,0.33113169,0.3719841904,0.5366632493
24,CB3,terB,0.2028774958,0.2004309837,0.1957590399,0.1970382141,0.2086442355,0.2469497984,0.3498995865
25,NB1,terB,-0.752292489,-0.7582297016,-0.7574876584,-0.750395421,-0.7215603753,-0.6631197616,-0.5205131951
26,HB1,terB,0.2861908755,0.2894232665,0.2903063878,0.2901503293,0.285281724,0.272145649,0.2208151667
27,HB2,terB,0.3017485221,0.3053002521,0.3081307962,0.3070931556,0.2945655501,0.2705700685,0.2128764385
28,CD6,terB,-0.1345144103,-0.1972513626,-0.2409498885,-0.2614667329,-0.2291172227,-0.1438010547,0.0292390155
29,HD4,terB,0.1346420759,0.1347601029,0.1287683354,0.1199652703,0.1038768149,0.065631132,-0.0342561832
30,CD1,OXO0,-0.3166672673,-0.2565371001,-0.2121104314,-0.1686857533,-0.145381213,-0.1084727409,0.0545165408
31,HD1,OXO0,0.1414968388,0.1273112855,0.1150185316,0.1036955732,0.0921273025,0.0675435455,-0.0206861688
32,CD2,OXO0,0.4279769117,0.4022914287,0.4039449838,0.3857152021,0.3924029596,0.452832359,0.5653377738
33,HD2,OXO0,-0.0054316665,0.0064049876,0.0064241222,0.0108366462,0.0009671215,-0.0370943043,-0.094079103
34,OD1,OXO0,-0.4117836077,-0.412956698,-0.4239524823,-0.4331490422,-0.4483010379,-0.5016245714,-0.6891096988
